Humidity,Season
57.2,Summer
58.1,Summer
56.5,Summer
58.6,Summer
57.4,Summer
62.6,Summer
61.7,Summer
57.3,Summer
53.4,Summer
53.7,Summer
58.6,Summer
45.1,Summer
47.5,Summer
54.5,Summer
55.9,Summer
51.1,Summer
53.7,Summer
54.4,Summer
54.4,Summer
61.0,Summer
52.7,Summer
56.2,Summer
48.4,Summer
47.0,Summer
50.6,Summer
52.4,Summer
52.2,Summer
56.0,Summer
53.8,Summer
52.2,Winter
41.8,Winter
55.6,Winter
54.2,Winter
54.6,Winter
56.2,Winter
58.1,Winter
56.7,Winter
57.6,Winter
58.7,Winter
56.2,Winter
59.8,Winter
61.6,Winter
61.8,Winter
62.5,Winter
63.3,Winter
55.6,Winter
62.3,Winter
57.4,Winter
55.1,Winter
62.5,Winter
52.8,Winter
57.2,Winter
59.3,Winter
55.0,Winter
58.1,Winter